#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 163333:1732 | 04/23/11 13:27:31 | 106  | 106  | 1024201.935    | 1004775.906   |
| 163334:1732 | 04/23/11 14:11:45 | 437  | 437  | 3904967.367    | 3869337.084   |
| 163337:1732 | 04/23/11 17:51:08 | 445  | 445  | 3664877.130    | 3616417.869   |
| 163338:1732 | 04/23/11 20:56:19 | 164  | 164  | 1275505.940    | 1255530.421   |
| 163339:1732 | 04/23/11 22:03:10 | 172  | 172  | 1298798.814    | 1282248.459   |
| 163340:1732 | 04/23/11 23:17:05 | 477  | 477  | 3414393.830    | 3390911.660   |
| 163358:1733 | 04/24/11 12:29:20 | 22   | 22   | 220966.167     | 216982.678    |
| 163369:1735 | 04/24/11 17:02:03 | 94   | 94   | 1032561.396    | 1014825.413   |
| 163370:1735 | 04/24/11 17:42:55 | 147  | 147  | 1543341.613    | 1517672.329   |
| 163371:1735 | 04/24/11 18:51:43 | 316  | 316  | 3048273.875    | 3006361.174   |
| 163372:1735 | 04/24/11 21:17:41 | 52   | 52   | 472790.017     | 463296.661    |
| 163374:1735 | 04/24/11 22:03:18 | 860  | 860  | 6926024.923    | 6871255.977   |
| 163375:1735 | 04/25/11 03:42:52 | 10   | 10   | 72386.343      | 67075.264     |
| 163376:1735 | 04/25/11 03:49:31 | 245  | 245  | 1756392.991    | 1733478.591   |
| 163378:1735 | 04/25/11 05:31:07 | 574  | 574  | 3786725.592    | 3759947.563   |
| 163385:1736 | 04/25/11 12:22:21 | 351  | 351  | 3292913.733    | 3261176.310   |
| 163387:1736 | 04/25/11 15:02:13 | 252  | 252  | 2133509.750    | 2117771.824   |
| 163402:1737 | 04/25/11 19:47:14 | 722  | 722  | 7185452.342    | 7109145.620   |
| 163475:1739 | 04/26/11 19:31:44 | 266  | 266  | 3097368.726    | 2905396.799   |
| 163476:1739 | 04/26/11 21:19:40 | 209  | 209  | 2241928.872    | 2118051.170   |
| 163478:1739 | 04/26/11 22:51:24 | 70   | 70   | 709389.999     | 476673.045    |
| 163479:1739 | 04/26/11 23:24:03 | 175  | 175  | 1755365.425    | 1732143.490   |
| 163480:1739 | 04/27/11 00:36:47 | 187  | 187  | 1797698.546    | 1751113.103   |
| 163481:1739 | 04/27/11 01:54:30 | 77   | 77   | 715061.917     | 671973.719    |
| 163482:1739 | 04/27/11 02:29:33 | 28   | 28   | 256206.892     | 239176.365    |
| 163483:1739 | 04/27/11 02:52:40 | 43   | 43   | 386963.221     | 383959.257    |
| 163582:1743 | 04/27/11 19:24:25 | 22   | 22   | 359249.272     | 260157.670    |
| 163583:1743 | 04/27/11 19:50:16 | 198  | 198  | 3071711.301    | 2927477.449   |
| 163584:1743 | 04/27/11 21:20:54 | 56   | 56   | 834310.623     | 792104.337    |
| 163585:1743 | 04/27/11 21:54:01 | 32   | 32   | 466977.510     | 450828.605    |
| 163586:1743 | 04/27/11 22:10:43 | 75   | 75   | 1075892.268    | 1054611.821   |
| 163587:1743 | 04/27/11 22:50:52 | 52   | 52   | 729598.723     | 712715.031    |
| 163588:1743 | 04/27/11 23:24:08 | 445  | 445  | 5846483.888    | 5768414.400   |
| 163589:1743 | 04/28/11 02:21:33 | 159  | 159  | 1951502.819    | 1930251.425   |
| 163596:1743 | 04/28/11 05:11:15 | 24   | 24   | 266868.785     | 264225.072    |
| 163630:1744 | 04/28/11 12:17:11 | 97   | 97   | 1344176.681    | 1311675.969   |
| 163655:1745 | 04/28/11 17:43:34 | 9    | 9    | 149713.322     | 136975.020    |
| 163657:1745 | 04/28/11 17:56:55 | 140  | 140  | 2249557.674    | 2196691.922   |
| 163658:1745 | 04/28/11 18:56:40 | 3    | 3    | 46851.452      | 6468.859      |
| 163659:1745 | 04/28/11 19:04:06 | 703  | 703  | 9934415.039    | 9735364.252   |
| 163660:1745 | 04/28/11 23:43:23 | 74   | 74   | 945105.650     | 766859.025    |
| 163661:1745 | 04/29/11 00:16:32 | 17   | 17   | 214337.530     | 116332.081    |
| 163662:1745 | 04/29/11 00:27:22 | 154  | 154  | 1902985.456    | 1870318.599   |
| 163663:1745 | 04/29/11 01:36:09 | 244  | 244  | 2863512.863    | 2733066.616   |
| 163664:1745 | 04/29/11 03:13:51 | 177  | 177  | 1982147.231    | 1922203.402   |
| 163668:1745 | 04/29/11 05:36:29 | 206  | 206  | 2138142.634    | 2101835.750   |
| 163738:1748 | 04/30/11 02:36:59 | 267  | 267  | 4261084.972    | 4207881.225   |
| 163757:1749 | 04/30/11 11:20:54 | 40   | 40   | 616423.776     | 589069.171    |
| 163758:1749 | 04/30/11 11:39:30 | 570  | 570  | 8090303.593    | 7642515.890   |
| 163759:1749 | 04/30/11 15:32:57 | 485  | 485  | 6073728.170    | 5961980.522   |
| 163760:1749 | 04/30/11 18:57:42 | 338  | 338  | 3847790.199    | 3776497.958   |
| 163761:1749 | 04/30/11 21:18:54 | 203  | 203  | 2177150.877    | 2154588.702   |
| 163763:1749 | 04/30/11 22:48:02 | 79   | 79   | 820653.468     | 808339.453    |
| 163765:1749 | 04/30/11 23:28:17 | 307  | 307  | 3082977.202    | 3043708.648   |
| 163795:1753 | 05/01/11 15:03:16 | 32   | 32   | 632425.580     | 475236.504    |
| 163796:1753 | 05/01/11 15:21:10 | 177  | 177  | 3337190.699    | 3273473.637   |
| 163817:1755 | 05/02/11 02:16:32 | 753  | 753  | 13935483.798   | 13540615.321  |
| 163869:1756 | 05/03/11 09:47:33 | 42   | 42   | 753960.851     | 732099.515    |
| 165088:1782 | 05/15/11 03:25:12 | 160  | 160  | 4084.303       | 4066.951      |
| 165098:1783 | 05/15/11 08:34:09 | 285  | 285  | 28394.757      | 27652.568     |
| 165099:1783 | 05/15/11 10:37:33 | 105  | 105  | 8898.996       | 8896.262      |
| 165102:1783 | 05/15/11 14:07:09 | 185  | 185  | 16558.928      | 16554.633     |
| 165103:1783 | 05/15/11 15:25:28 | 440  | 440  | 46803.847      | 46790.265     |
| 165120:1785 | 05/16/11 07:38:24 | 16   | 16   | 79457.012      | 78607.963     |
| 165121:1785 | 05/16/11 07:49:40 | 466  | 466  | 2135897.271    | 2105242.977   |
