+--------+-------+----------+
| run    | cmsls | prescidx |
+--------+-------+----------+
| 190389 | 1     | 1        |
| 190390 | 1     | 1        |
| 190391 | 1     | 1        |
| 190401 | 1     | 1        |
| 190403 | 1     | 1        |
| 190404 | 1     | 1        |
| 190405 | 1     | 1        |
| 190406 | 1     | 1        |
| 190407 | 1     | 1        |
| 190409 | 1     | 1        |
| 190410 | 1     | 1        |
| 190411 | 1     | 1        |
| 190456 | 1     | 1        |
| 190456 | 9     | 5        |
| 190459 | 1     | 1        |
| 190459 | 5     | 5        |
| 190462 | 1     | 5        |
| 190465 | 1     | 5        |
| 190482 | 1     | 4        |
| 190488 | 1     | 4        |
| 190490 | 1     | 4        |
| 190491 | 1     | 4        |
| 190492 | 1     | 4        |
| 190538 | 1     | 1        |
| 190538 | 3     | 4        |
| 190539 | 1     | 4        |
| 190591 | 1     | 1        |
| 190591 | 12    | 3        |
| 190592 | 1     | 1        |
| 190592 | 4     | 3        |
| 190593 | 1     | 3        |
| 190595 | 1     | 3        |
| 190645 | 1     | 4        |
| 190646 | 1     | 4        |
| 190659 | 1     | 3        |
| 190659 | 71    | 1        |
| 190661 | 1     | 3        |
| 190662 | 1     | 3        |
| 190663 | 1     | 3        |
| 190678 | 1     | 3        |
| 190679 | 1     | 3        |
| 190688 | 1     | 3        |
| 190688 | 4     | 1        |
| 190702 | 1     | 3        |
| 190702 | 67    | 2        |
| 190703 | 1     | 2        |
| 190704 | 1     | 2        |
| 190705 | 1     | 2        |
| 190705 | 95    | 3        |
| 190706 | 1     | 1        |
| 190706 | 9     | 3        |
| 190707 | 1     | 3        |
| 190708 | 1     | 3        |
| 190710 | 1     | 3        |
| 190733 | 1     | 2        |
| 190734 | 1     | 2        |
| 190735 | 1     | 2        |
| 190736 | 1     | 2        |
| 190738 | 1     | 2        |
| 190782 | 1     | 2        |
| 190895 | 1     | 2        |
| 190906 | 1     | 2        |
| 190945 | 1     | 2        |
| 190949 | 1     | 2        |
| 190949 | 82    | 6        |
| 191043 | 1     | 2        |
| 191046 | 1     | 2        |
| 191056 | 1     | 1        |
| 191057 | 1     | 1        |
| 191057 | 10    | 2        |
| 191062 | 1     | 2        |
| 191086 | 1     | 2        |
| 191090 | 1     | 2        |
| 191090 | 56    | 6        |
| 191201 | 1     | 2        |
| 191202 | 1     | 2        |
| 191226 | 1     | 1        |
| 191226 | 38    | 2        |
| 191242 | 1     | 2        |
| 191244 | 1     | 2        |
| 191247 | 1     | 2        |
| 191248 | 1     | 2        |
| 191264 | 1     | 1        |
| 191264 | 13    | 2        |
| 191264 | 76    | 1        |
| 191271 | 1     | 1        |
| 191276 | 1     | 1        |
| 191277 | 1     | 1        |
| 191306 | 1     | 0        |
| 191350 | 1     | 0        |
| 191367 | 1     | 1        |
