Type, RunNo, EvNo, E1, px1, py1, pz1, pt1, eta1, phi1, Q1, E2, px2, py2, pz2, pt2, eta2, phi2, Q2, M
GT,  140124,  903170732,  6.39888, 1.78645, 0.65102, -6.10895, 1.90137598673, -1.8837072667, 0.349463880544,  -1,  5.2693, -0.902856, 0.531466, -5.16302, 1.047666486, -2.29824202413, 2.60956069616,  -1,  2.62872
GT,  140124,  903199372,  14.0614, 3.04479, 0.973447, -13.6928, 3.1966146477, -2.16127966672, 0.309439022421,  1,  3.62494, -1.33321, -0.273512, -3.35809, 1.36097675154, -1.63505969187, -2.93924725404,  -1,  4.31897
GT,  140124,  903207161,  10.7821, 0.0506883, 2.16395, 10.5621, 2.1645435792, 2.28854775937, 1.54737663944,  1,  9.13249, 2.08968, 1.79798, 8.70585, 2.75671808185, 1.86727527092, 0.710506214703,  -1,  2.24954
GT,  140124,  903271146,  12.4749, 0.0439509, -2.41753, 12.2378, 2.41792948253, 2.32438461145, -1.5526182447,  -1,  3.64122, 1.61398, -0.504174, 3.22307, 1.69089410156, 1.40085144511, -0.302774935425,  1,  3.06649
GT,  140124,  903279101,  5.8497, -1.63314, 0.190099, 5.61289, 1.64416662459, 1.94177172636, 3.02571321194,  -1,  3.8195, 0.661556, 0.536873, 3.72177, 0.851991173232, 2.18037664128, 0.681732413693,  -1,  2.21024
GT,  140124,  903280285,  6.04835, 1.09276, 1.05546, -5.85348, 1.51924989031, -2.05839772232, 0.768036695642,  1,  3.41582, 0.675321, -1.01545, -3.18896, 1.21950693132, -1.68909951308, -0.983916535826,  -1,  2.16265
GT,  140124,  903373441,  6.76215, 0.157907, 2.82185, 6.14229, 2.82626468031, 1.51855146684, 1.51489594689,  1,  4.39066, -1.0624, 0.122898, 4.2571, 1.0694847724, 2.08997583447, 3.02642495559,  1,  2.59772
GT,  140124,  903385866,  6.53182, -2.09866, 1.64759, -5.96109, 2.66813166911, -1.54371446687, 2.47602337636,  1,  5.87068, 0.671037, 2.91213, -5.05203, 2.98844303815, -1.29600513609, 1.3443212495,  -1,  3.11516
GT,  140124,  903394257,  10.3596, 3.49417, 1.83147, -9.57846, 3.94506100711, -1.62013963868, 0.482780606824,  -1,  3.35951, -0.683467, -0.66518, -3.21956, 0.953725103208, -1.9310208866, -2.36975317484,  1,  3.8942
GT,  140124,  903427640,  6.98361, 0.00499525, 1.4797, 6.82423, 1.47970843159, 2.23333363062, 1.56742048641,  -1,  21.7291, -1.56649, -3.87573, 21.323, 4.18033179939, 2.33201596133, -1.95490038433,  -1,  4.89671
GT,  140124,  903468833,  9.86257, -1.32484, -1.6769, -9.62767, 2.13709958486, -2.21043547499, -2.23944257298,  1,  5.423, -1.45423, 0.528556, -5.1965, 1.54730615524, -1.92607956912, 2.79297647514,  -1,  2.20247
GT,  140124,  903469633,  7.44283, 1.61568, -4.05563, -6.02711, 4.36561067427, -1.12664705626, -1.19168768101,  1,  3.98828, 3.02878, -2.3536, -1.08732, 3.83574520118, -0.279804994415, -0.660607354543,  -1,  4.17205
GT,  140124,  903474014,  18.189, 1.94954, -2.99495, -17.8342, 3.57357408124, -2.31058884851, -0.993758881992,  -1,  3.57489, 1.11956, 0.00975711, -3.39341, 1.11960251643, -1.82817475354, 0.00871490851982,  1,  2.17389
GT,  140124,  903480361,  8.46961, -0.00665796, 2.6348, -8.04866, 2.63480841209, -1.83561671791, 1.57332325325,  1,  4.19905, 1.23987, 0.503966, -3.97864, 1.33837937299, -1.80978734849, 0.386068749521,  -1,  2.11336
GT,  140124,  903611703,  7.50206, -1.83705, 2.20657, 6.93009, 2.87118509807, 1.61468243919, 2.26506413902,  1,  5.27199, 1.20743, 1.45624, 4.91977, 1.89169821655, 1.68400017654, 0.8785366253,  -1,  2.99075
GT,  140124,  903612882,  8.50327, 1.73744, -4.67405, 6.88688, 4.98652596064, 1.1269460315, -1.21490396816,  -1,  5.55634, -0.401817, -2.01057, 5.16313, 2.05032890688, 1.6539678421, -1.76804984482,  -1,  2.44992
GT,  140124,  903619573,  11.4623, -0.866205, 3.03069, -11.0199, 3.15204584011, -1.96465134586, 1.84918553905,  1,  8.67945, 1.17924, 1.32777, -8.49518, 1.77583224165, -2.26912658126, 0.844574864461,  -1,  2.39964
GT,  140124,  903740247,  20.1272, -0.492462, 3.81877, 19.7552, 3.85039259483, 2.33775332466, 1.69904678444,  1,  3.32689, 0.975498, 0.497096, 3.1398, 1.09485194489, 1.77578595643, 0.471283611512,  -1,  2.65591
GT,  140124,  903743045,  14.4508, -1.28513, -2.69166, -14.1392, 2.98271565398, -2.26020824245, -2.01624081649,  1,  4.4521, -1.57775, -0.0724173, -4.16118, 1.57941106994, -1.69610662501, -3.09572574838,  -1,  2.56477
GT,  140124,  903770650,  10.1612, -0.291993, 2.30091, 9.89238, 2.31936343425, 2.15708705751, 1.69702486792,  1,  9.58934, 1.66538, 2.346, 9.14697, 2.87701347658, 1.87367948354, 0.95346979068,  -1,  2.02648
GT,  140124,  903779763,  7.94575, -1.78851, -0.315671, -7.73469, 1.81615423363, -2.1556483309, -2.9668924816,  1,  13.0477, -3.99145, 2.18301, -12.2284, 4.54941817847, -1.71484249328, 2.64111601188,  -1,  2.3032
GT,  140124,  903781091,  11.5262, -1.3435, -1.72262, -11.3168, 2.18458506687, -2.34719809156, -2.23317078976,  -1,  4.67789, -2.12281, -0.681645, -4.11103, 2.22956547384, -1.37154980347, -2.83088763175,  -1,  2.59986
GT,  140124,  903974374,  9.26349, -1.52892, 1.72849, -8.97083, 2.30765553029, -2.06704034389, 2.2950045079,  -1,  6.08694, -1.24568, -1.44036, -5.78042, 1.90429923909, -1.82959996335, -2.28384256034,  -1,  3.2023
